geneIDA	geneIDB	bitScore
MTR_0001s0190	MTR_1g115490	176
MTR_0001s0190	MTR_7g022840	132
MTR_0001s0360	MTR_5g078800	278
MTR_0001s0360	MTR_5g078860	257
MTR_0001s0360	MTR_5g078910	313
MTR_0001s0360	MTR_5g078930	251
MTR_0001s0360	MTR_5g078950	305
MTR_0001s0360	MTR_5g079120	293
MTR_0001s0360	MTR_5g079220	294
MTR_0001s0360	MTR_5g079290	429
MTR_0001s0360	MTR_7g017260	313
MTR_0001s0360	MTR_8g060940	293
MTR_0001s0660	MTR_5g045710	599
MTR_0001s0700	MTR_0091s0050	122
MTR_0002s0020	MTR_0113s0040	343
MTR_0002s0020	MTR_1g101390	353
MTR_0002s0020	MTR_4g102770	354
MTR_0002s0020	MTR_5g010800	337
MTR_0002s0020	MTR_7g103380	317
MTR_0002s0040	MTR_0002s1060	338
MTR_0002s0040	MTR_0263s0020	549
MTR_0002s0090	MTR_0002s0110	2219
MTR_0002s0090	MTR_1g008240	1264
MTR_0002s0090	MTR_2g063777	1504
MTR_0002s0090	MTR_3g028040	1496
MTR_0002s0090	MTR_3g030960	1489
MTR_0002s0090	MTR_3g030980	1486
MTR_0002s0090	MTR_3g031940	1451
MTR_0002s0090	MTR_3g032110	1253
MTR_0002s0090	MTR_3g032200	1465
MTR_0002s0090	MTR_3g032340	1221
MTR_0002s0090	MTR_3g032370	1459
MTR_0002s0090	MTR_3g032500	1441
MTR_0002s0090	MTR_3g032760	1474
MTR_0002s0090	MTR_3g032800	1498
MTR_0002s0090	MTR_3g032960	1497
MTR_0002s0090	MTR_3g033110	1359
MTR_0002s0090	MTR_3g033130	1199
MTR_0002s0090	MTR_3g033240	1371
MTR_0002s0090	MTR_3g033380	1400
MTR_0002s0090	MTR_3g033860	1494
MTR_0002s0090	MTR_3g034380	1504
MTR_0002s0090	MTR_3g034430	1441
MTR_0002s0090	MTR_3g034460	1379
MTR_0002s0090	MTR_3g035480	2151
MTR_0002s0090	MTR_3g035940	2221
MTR_0002s0090	MTR_3g035960	2153
MTR_0002s0090	MTR_3g435720	1484
MTR_0002s0090	MTR_3g435740	1405
MTR_0002s0090	MTR_4g050410	1461
MTR_0002s0090	MTR_8g030860	1398
MTR_0002s0110	MTR_1g008240	1283
MTR_0002s0110	MTR_2g063777	1506
MTR_0002s0110	MTR_3g030960	1477
MTR_0002s0110	MTR_3g030980	1472
MTR_0002s0110	MTR_3g031940	1433
MTR_0002s0110	MTR_3g032110	1243
MTR_0002s0110	MTR_3g032200	1465
MTR_0002s0110	MTR_3g032340	1214
MTR_0002s0110	MTR_3g032370	1438
MTR_0002s0110	MTR_3g032500	1439
MTR_0002s0110	MTR_3g032760	1471
MTR_0002s0110	MTR_3g032800	1483
MTR_0002s0110	MTR_3g032960	1491
MTR_0002s0110	MTR_3g033110	1349
MTR_0002s0110	MTR_3g033130	1169
MTR_0002s0110	MTR_3g033240	1383
MTR_0002s0110	MTR_3g033860	1483
MTR_0002s0110	MTR_3g034380	1502
MTR_0002s0110	MTR_3g034430	1434
MTR_0002s0110	MTR_3g035940	2332
MTR_0002s0110	MTR_3g435740	1384
MTR_0002s0110	MTR_8g030860	1398
MTR_0002s0350	MTR_4g047920	292
MTR_0002s0380	MTR_4g051290	675
MTR_0002s0390	MTR_3g035685	501
MTR_0002s0390	MTR_4g051280	462
MTR_0002s0390	MTR_7g021760	461
MTR_0002s0660	MTR_4g051270	855
MTR_0002s0660	MTR_6g055010	897
MTR_0002s0660	MTR_7g021770	901
MTR_0002s0660	MTR_7g117930	901
MTR_0002s0690	MTR_4g050860	475
MTR_0002s0700	MTR_5g055290	148
MTR_0002s0730	MTR_4g034690	261
MTR_0002s0740	MTR_4g051370	969
MTR_0002s0760	MTR_4g051380	657
MTR_0002s0790	MTR_4g051410	265
MTR_0002s0870	MTR_0003s0390	395
MTR_0002s0870	MTR_0118s0040	281
MTR_0002s0870	MTR_7g034270	400
MTR_0002s0870	MTR_7g062790	359
MTR_0002s1060	MTR_0002s0040	338
